Suburb;Address;Rooms;Type;Price;Method;SellerG;Date;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;BuildingArea;YearBuilt;CouncilArea;Lattitude;Longtitude;Regionname;Propertycount
Abbotsford;25 Bloomburg St;2;h;1035000;S;Biggin;04/02/2016;25;3067;2;1;0;156;79;1900;Yarra City Council;-378079;1449934;Northern Metropolitan;4019
Abbotsford;129 Charles St;2;h;941000;S;Jellis;07/05/2016;25;3067;2;1;0;181;;;Yarra City Council;-378041;1449953;Northern Metropolitan;4019
Abbotsford;124 Yarra St;3;h;1876000;S;Nelson;07/05/2016;25;3067;4;2;0;245;210;1910;Yarra City Council;-378024;1449993;Northern Metropolitan;4019
Abbotsford;98 Charles St;2;h;1636000;S;Nelson;08/10/2016;25;3067;2;1;2;256;107;1890;Yarra City Council;-37806;1449954;Northern Metropolitan;4019
Abbotsford;217 Langridge St;3;h;1000000;S;Jellis;08/10/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;18a Mollison St;2;t;745000;S;Jellis;08/10/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;6/241 Nicholson St;1;u;300000;S;Biggin;08/10/2016;25;3067;1;1;1;0;;;Yarra City Council;-378008;1449973;Northern Metropolitan;4019
Abbotsford;10 Valiant St;2;h;1097000;S;Biggin;08/10/2016;25;3067;3;1;2;220;75;1900;Yarra City Council;-37801;1449989;Northern Metropolitan;4019
Abbotsford;403/609 Victoria St;2;u;542000;S;Dingle;08/10/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;123/56 Nicholson St;2;u;750000;S;Biggin;12/11/2016;25;3067;2;2;1;0;94;2009;Yarra City Council;-378078;1449965;Northern Metropolitan;4019
Abbotsford;22 Park St;4;h;1985000;S;Biggin;12/11/2016;25;3067;;;;;;;Yarra City Council;-378084;1449942;Northern Metropolitan;4019
Abbotsford;13/84 Trenerry Cr;1;u;500000;S;Biggin;12/11/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;45 William St;2;h;1172500;S;Biggin;13/08/2016;25;3067;2;1;1;195;;;Yarra City Council;-378084;1449973;Northern Metropolitan;4019
Abbotsford;16 William St;2;h;1310000;S;Jellis;15/10/2016;25;3067;2;1;2;238;97;1890;Yarra City Council;-37809;1449976;Northern Metropolitan;4019
Abbotsford;42 Henry St;3;h;1200000;S;Jellis;16/07/2016;25;3067;3;2;1;113;110;1880;Yarra City Council;-378056;144993;Northern Metropolitan;4019
Abbotsford;250 Langridge St;2;t;847000;S;Jellis;16/07/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;78 Yarra St;3;h;1176500;S;LITTLE;16/07/2016;25;3067;2;1;1;138;105;1890;Yarra City Council;-378021;1449965;Northern Metropolitan;4019
Abbotsford;196 Nicholson St;3;h;955000;S;Collins;17/09/2016;25;3067;3;1;0;183;;;Yarra City Council;-378022;1449975;Northern Metropolitan;4019
Abbotsford;42 Valiant St;2;h;890000;S;Biggin;17/09/2016;25;3067;2;1;1;150;73;1985;Yarra City Council;-378011;1450004;Northern Metropolitan;4019
Abbotsford;13/11 Nicholson St;3;t;900000;S;Beller;18/03/2017;25;3067;3;2;2;0;;2010;Yarra City Council;-378093;1449959;Northern Metropolitan;4019
Abbotsford;138/56 Nicholson St;3;u;1090000;S;Jellis;18/03/2017;25;3067;3;2;2;4290;27;;Yarra City Council;-378078;1449965;Northern Metropolitan;4019
Abbotsford;6/219 Nicholson St;2;u;500000;S;Collins;18/06/2016;25;3067;2;1;1;0;60;1970;Yarra City Council;-378015;1449972;Northern Metropolitan;4019
Abbotsford;49 Park St;2;h;1315000;S;Marshall;19/11/2016;25;3067;2;1;0;147;85;1900;Yarra City Council;-37808;144994;Northern Metropolitan;4019
Abbotsford;65/80 Trenerry Cr;1;u;480000;S;Biggin;19/11/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;119/52 Nicholson St;1;u;423500;S;hockingstuart;22/05/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;116/56 Nicholson St;1;u;457000;S;Jellis;22/08/2016;25;3067;1;1;1;0;50;;Yarra City Council;-378078;1449965;Northern Metropolitan;4019
Abbotsford;159 Park St;2;h;1135000;S;Nelson;22/08/2016;25;3067;2;2;2;98;128;1920;Yarra City Council;-378005;1449952;Northern Metropolitan;4019
Abbotsford;49/84 Trenerry Cr;2;h;700000;S;Biggin;23/04/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;31 Turner St;4;h;1542000;S;Collins;24/09/2016;25;3067;4;3;1;0;;;Yarra City Council;-377994;1449965;Northern Metropolitan;4019
Abbotsford;166 Gipps St;3;h;1290000;S;Biggin;25/02/2017;25;3067;3;2;2;147;18;;Yarra City Council;-37805;1449943;Northern Metropolitan;4019
Abbotsford;60 Stafford St;3;h;1290000;S;Biggin;25/02/2017;25;3067;3;1;1;168;124;1950;Yarra City Council;-378007;1449958;Northern Metropolitan;4019
Abbotsford;11/205 Gipps St;1;u;470000;S;Nelson;26/07/2016;25;3067;1;1;1;0;50;2013;Yarra City Council;-378055;1449961;Northern Metropolitan;4019
Abbotsford;47 Studley St;2;h;1180000;S;Jellis;27/11/2016;25;3067;2;1;0;162;91;1900;Yarra City Council;-378016;1449956;Northern Metropolitan;4019
Abbotsford;200 Nicholson St;2;h;1012500;S;Nelson;28/05/2016;25;3067;2;1;0;182;82;1900;Yarra City Council;-378021;1449976;Northern Metropolitan;4019
Abbotsford;27 Charles St;2;h;1030000;S;Biggin;30/07/2016;25;3067;2;1;1;172;81;1930;Yarra City Council;-378086;1449946;Northern Metropolitan;4019
Abbotsford;40/80 Trenerry Cr;3;h;927000;S;Biggin;30/07/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;53 Studley St;2;h;1271000;S;Biggin;13/05/2017;25;3067;;;;;;;Yarra City Council;-378016;1449959;Northern Metropolitan;4019
Abbotsford;6/205 Gipps St;2;u;870000;S;Biggin;20/05/2017;25;3067;2;2;1;0;86;2013;Yarra City Council;-378055;1449961;Northern Metropolitan;4019
Abbotsford;67B Park St;3;t;1270000;S;Beller;20/05/2017;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;24 Cooke St;2;h;1050000;S;Jellis;29/04/2017;25;3067;2;1;0;129;128;1890;Yarra City Council;-378099;1450027;Northern Metropolitan;4019
Abbotsford;198 Gipps St;2;h;1242000;S;Nelson;29/04/2017;25;3067;2;1;1;249;98;1940;Yarra City Council;-378052;1449963;Northern Metropolitan;4019
Abbotsford;22 Lulie St;3;h;1165000;S;Jellis;29/04/2017;25;3067;3;2;0;92;114;1888;Yarra City Council;-37797;1449957;Northern Metropolitan;4019
Abbotsford;256 Langridge St;3;h;1350000;S;Biggin;01/07/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;5/29 Church St;2;u;480000;S;hockingstuart;17/06/2017;3;3067;2;1;1;601;64;1970;Yarra City Council;-3780915;14500066;Northern Metropolitan;4019
Abbotsford;2 Federation La;3;h;855000;S;Nelson;24/06/2017;3;3067;3;2;1;92;116;2004;Yarra City Council;-3779683;14499586;Northern Metropolitan;4019
Abbotsford;67 Yarra St;3;h;1402500;S;Jellis;27/05/2017;3;3067;3;1;1;270;101;1960;Yarra City Council;-378023;14499615;Northern Metropolitan;4019
Abbotsford;21/659 Victoria St;2;u;550000;S;hockingstuart;08/07/2017;3;3067;2;1;1;1521;;;Yarra City Council;-378114;14501163;Northern Metropolitan;4019
Abbotsford;143 Charles St;3;h;1635000;S;Nelson;12/08/2017;3;3067;3;1;0;142;130;1880;Yarra City Council;-3780359;14499538;Northern Metropolitan;4019
Abbotsford;10 James St;2;h;940000;S;Biggin;12/08/2017;3;3067;2;1;0;424;;;Yarra City Council;-3780911;14499339;Northern Metropolitan;4019
Abbotsford;17 Valiant St;3;h;1375000;S;hockingstuart;12/08/2017;3;3067;3;1;0;299;;;Yarra City Council;-3780125;14499926;Northern Metropolitan;4019
Abbotsford;1/50 Valiant St;4;t;1525000;S;Jellis;12/08/2017;3;3067;4;2;2;102;;;Yarra City Council;-3780116;14500066;Northern Metropolitan;4019
Abbotsford;101 Charles St;2;h;911000;S;Purplebricks;22/07/2017;3;3067;2;1;0;141;;;Yarra City Council;-3780586;14499499;Northern Metropolitan;4019
Abbotsford;133 Yarra St;2;h;1190000;S;Biggin;22/07/2017;3;3067;2;2;1;147;175;2000;Yarra City Council;-3780269;1450001;Northern Metropolitan;4019
Abbotsford;64 Studley St;3;h;1830000;S;Jellis;16/09/2017;3;3067;3;2;1;;;;Yarra City Council;-3780134;1449956;Northern Metropolitan;4019
Abbotsford;1/29 Yarra Bank Ct;3;u;1001000;S;Biggin;19/08/2017;3;3067;3;2;1;;;2000;Yarra City Council;-3780468;14499834;Northern Metropolitan;4019
Abbotsford;801/1 Acacia Pl;1;u;415000;S;Jellis;23/09/2017;3;3067;1;1;1;;50;2013;Yarra City Council;-3781177;14501414;Northern Metropolitan;4019
Abbotsford;64 Yarra St;3;h;1255000;S;Biggin;23/09/2017;3;3067;3;2;1;;;;Yarra City Council;-3780204;14499592;Northern Metropolitan;4019
Abbotsford;513/6 Acacia Pl;3;u;1150000;S;Dingle;07/10/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;60 Charles St;3;h;1370000;S;Jellis;07/10/2017;3;3067;3;1;;192;109;1900;Yarra City Council;-3780792;14499508;Northern Metropolitan;4019
Abbotsford;38 Studley St;3;h;1240000;S;Nelson;07/10/2017;3;3067;3;1;1;159;93;1890;Yarra City Council;-3780124;14499459;Northern Metropolitan;4019
Abbotsford;1 Paterson St;2;h;1075000;S;Biggin;14/10/2017;3;3067;2;1;0;;92;1927;Yarra City Council;-3780318;14500067;Northern Metropolitan;4019
Abbotsford;12 Valiant St;3;h;1300000;S;Biggin;14/10/2017;3;3067;3;1;;;;;Yarra City Council;-3780099;14499897;Northern Metropolitan;4019
Abbotsford;193 Vere St;2;h;1200000;S;Biggin;14/10/2017;3;3067;2;1;0;135;;1890;Yarra City Council;-3780309;14499691;Northern Metropolitan;4019
Abbotsford;200 Vere St;3;h;1540000;S;Nelson;21/10/2017;3;3067;3;1;;241;;;Yarra City Council;-3780273;14499646;Northern Metropolitan;4019
Abbotsford;6/29 Church St;2;u;505000;S;Biggin;11/11/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;85 Nicholson St;3;u;940000;S;Biggin;11/11/2017;3;3067;;;;;;;Yarra City Council;-378067;1449963;Northern Metropolitan;4019
Abbotsford;11/1 Abbott St;3;h;980000;S;Biggin;18/11/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;44 Lulie St;2;h;970000;S;Nelson;09/12/2017;3;3067;2;1;;105;85;1890;Yarra City Council;-3779644;14499578;Northern Metropolitan;4019
Abbotsford;16 Federation La;3;h;955000;S;Biggin;17/02/2018;3;3067;3;2;2;86;122;2004;Yarra City Council;-3779686;14499621;Northern Metropolitan;4019
Abbotsford;31 Park St;3;h;1200000;S;Biggin;17/02/2018;3;3067;3;1;1;211;93;1970;Yarra City Council;-3780864;14499386;Northern Metropolitan;4019
Abbotsford;18 Valiant St;3;h;1366000;S;Jellis;17/03/2018;3;3067;3;1;2;307;;1900;Yarra City Council;-3780103;14499929;Northern Metropolitan;4019
Aberfeldie;26a Fawkner St;3;h;760000;SP;McDonald;07/11/2016;91;3040;3;1;1;321;;1940;Moonee Valley City Council;-37757;144896;Western Metropolitan;1543
Aberfeldie;2/30 Caroline St;3;t;935000;SP;Nelson;10/09/2016;91;3040;3;2;2;217;149;2005;Moonee Valley City Council;-377591;1448923;Western Metropolitan;1543
Aberfeldie;11 Muldowney St;3;t;1300000;SP;Barry;25/02/2017;91;3040;3;3;1;593;205;2016;Moonee Valley City Council;-377584;1448968;Western Metropolitan;1543
Aberfeldie;1/7 Derry St;2;h;670000;SP;Frank;27/11/2016;91;3040;2;1;2;0;103;1990;Moonee Valley City Council;-3776;1449002;Western Metropolitan;1543
Aberfeldie;45 Afton St;3;h;2050000;SP;McDonald;22/07/2017;75;3040;3;2;6;402;;;Moonee Valley City Council;-3776027;14488954;Western Metropolitan;1543
Aberfeldie;5 Aroona Ct;3;h;1680000;SP;Raine;22/07/2017;75;3040;3;2;2;673;136;1965;Moonee Valley City Council;-3776316;14489799;Western Metropolitan;1543
Aberfeldie;13 Valencia St;4;h;1650000;SP;Barry;16/09/2017;75;3040;4;2;1;484;186;1950;Moonee Valley City Council;-377609;14489886;Western Metropolitan;1543
Aberfeldie;9/39 St Kinnord St;1;u;315000;SP;Brad;23/09/2017;75;3040;1;1;1;;;1970;Moonee Valley City Council;-3775882;1449027;Western Metropolitan;1543
Aberfeldie;48 Fawkner St;4;h;1905000;SP;Brad;21/10/2017;75;3040;4;2;2;797;26;1930;Moonee Valley City Council;-3775857;14489572;Western Metropolitan;1543
Aberfeldie;2/37 St Kinnord St;1;u;312000;SP;Brad;28/10/2017;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;5/4 Combermere St;2;u;485000;SP;Walshe;25/11/2017;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;3 Tamar St;3;h;1350000;SP;Barry;17/03/2018;75;3040;3;1;1;474;;;Moonee Valley City Council;-3775902;14489921;Western Metropolitan;1543
Aberfeldie;2/2 St Kinnord St;1;u;380000;S;Nelson;03/12/2016;91;3040;1;1;1;0;39;1990;Moonee Valley City Council;-377561;1449028;Western Metropolitan;1543
Aberfeldie;40 Clifton St;4;h;1646000;S;Rendina;04/03/2017;91;3040;4;3;2;757;157;1950;Moonee Valley City Council;-377606;1448909;Western Metropolitan;1543
Aberfeldie;6/8 Arthur St;2;u;442000;S;Nelson;07/05/2016;91;3040;2;1;1;0;;;Moonee Valley City Council;-377589;144897;Western Metropolitan;1543
Aberfeldie;8/257 Buckley St;2;u;470000;S;Brad;07/05/2016;91;3040;2;1;1;976;71;2000;Moonee Valley City Council;-377557;1449037;Western Metropolitan;1543
Aberfeldie;21 May St;4;h;1346000;S;Nelson;08/10/2016;91;3040;2;2;2;559;204;1995;Moonee Valley City Council;-377614;1448925;Western Metropolitan;1543
Aberfeldie;25 Valencia St;2;h;1300000;S;Rendina;08/10/2016;91;3040;3;1;5;528;;;Moonee Valley City Council;-377617;1448987;Western Metropolitan;1543
Aberfeldie;1a Arthur St;3;u;845000;S;Nelson;10/12/2016;91;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;126 The Boulevard;4;h;3900000;S;Nelson;10/12/2016;91;3040;4;4;4;670;375;2010;Moonee Valley City Council;-377637;1448931;Western Metropolitan;1543
Aberfeldie;3/64 Brunel St;3;u;1160000;S;Nelson;11/02/2017;91;3040;3;2;1;309;;2007;Moonee Valley City Council;-377642;144895;Western Metropolitan;1543
Aberfeldie;25 Beaver St;2;h;1705000;S;Nelson;15/10/2016;91;3040;2;1;2;809;131;1980;Moonee Valley City Council;-377587;1449015;Western Metropolitan;1543
Aberfeldie;4 Brunel Ct;3;h;1190000;S;Barry;17/09/2016;91;3040;3;1;1;465;115;1950;Moonee Valley City Council;-377626;1448954;Western Metropolitan;1543
Aberfeldie;29 Beaver St;5;h;1740000;S;Nelson;18/06/2016;91;3040;3;3;2;839;247;1925;Moonee Valley City Council;-37759;1449015;Western Metropolitan;1543
Aberfeldie;40 Allan St;3;h;1860000;S;Rendina;19/11/2016;91;3040;3;2;2;311;;;Moonee Valley City Council;-377603;1448921;Western Metropolitan;1543
Aberfeldie;14 Knight St;3;h;1195000;S;Nelson;19/11/2016;91;3040;3;2;2;496;;;Moonee Valley City Council;-377559;1448991;Western Metropolitan;1543
Aberfeldie;1 Chisholm St;3;u;726000;S;Barry;24/09/2016;91;3040;3;1;1;229;111;1996;Moonee Valley City Council;-377606;1448973;Western Metropolitan;1543
Aberfeldie;5/319 Buckley St;2;u;373000;S;Barry;27/11/2016;91;3040;2;1;1;0;;;Moonee Valley City Council;-377553;1448996;Western Metropolitan;1543
Aberfeldie;13 Batman St;5;h;2400000;S;Barry;28/05/2016;91;3040;3;2;2;1315;;;Moonee Valley City Council;-377548;1448915;Western Metropolitan;1543
Aberfeldie;47 Clifton St;4;h;1350000;S;Nelson;28/05/2016;91;3040;3;2;2;1076;180;1960;Moonee Valley City Council;-377609;1448905;Western Metropolitan;1543
Aberfeldie;32 Fawkner St;4;h;1330000;S;Nelson;06/05/2017;91;3040;4;2;2;273;;;Moonee Valley City Council;-377574;1448959;Western Metropolitan;1543
Aberfeldie;40b Clifton St;3;t;1220000;S;Rendina;08/04/2017;91;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;2/65 Clifton St;3;h;1300000;S;Nelson;08/04/2017;91;3040;3;3;2;240;240;2013;Moonee Valley City Council;-37762;1448916;Western Metropolitan;1543
Aberfeldie;3/4 Combermere St;2;h;470000;S;Barry;08/04/2017;91;3040;2;1;1;70;723;1980;Moonee Valley City Council;-377564;1449043;Western Metropolitan;1543
Aberfeldie;32 Beatrice Av;3;h;1167500;S;McDonald;13/05/2017;91;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;5/257 Buckley St;2;u;507000;S;Barry;03/06/2017;75;3040;2;1;1;0;80;1960;Moonee Valley City Council;-3775571;14490366;Western Metropolitan;1543
Aberfeldie;435 Buckley St;3;h;1210000;S;Nelson;24/06/2017;75;3040;3;1;6;645;;;Moonee Valley City Council;-3775418;14489017;Western Metropolitan;1543
Aberfeldie;5 Rita St;5;h;2905000;S;Rendina;27/05/2017;75;3040;5;3;2;557;364;2010;Moonee Valley City Council;-3776181;14489327;Western Metropolitan;1543
Aberfeldie;53a Vida St;3;t;1370000;S;Barry;12/08/2017;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;6/39 St Kinnord St;1;u;310000;S;Brad;22/07/2017;75;3040;1;1;1;1715;;1970;Moonee Valley City Council;-3775882;1449027;Western Metropolitan;1543
Aberfeldie;18 Valencia St;5;h;1472000;S;Rendina;22/07/2017;75;3040;5;3;2;486;;;Moonee Valley City Council;-3776111;14489845;Western Metropolitan;1543
Aberfeldie;1 Alma St;4;h;1436000;S;Brad;03/09/2017;75;3040;4;3;3;511;187;1922;Moonee Valley City Council;-3775788;14490487;Western Metropolitan;1543
Aberfeldie;1A Aberfeldie St;3;h;1195000;S;Nelson;09/09/2017;75;3040;3;2;2;381;;;Moonee Valley City Council;-3775629;14490626;Western Metropolitan;1543
Aberfeldie;10 Caroline St;5;h;1830000;S;Rendina;23/09/2017;75;3040;5;4;4;730;373;2014;Moonee Valley City Council;-377595;14489427;Western Metropolitan;1543
Aberfeldie;22 Aberfeldie St;4;h;2600000;S;Nelson;21/10/2017;75;3040;4;2;4;923;228;1925;Moonee Valley City Council;-3775923;14490527;Western Metropolitan;1543
Aberfeldie;1/34 Arthur St;2;u;910000;S;Brad;28/10/2017;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;1A Vida St;3;t;1150000;S;Barry;11/11/2017;75;3040;3;2;1;224;193;2013;Moonee Valley City Council;-377556;144899;Western Metropolitan;1543
Aberfeldie;49 Brunel St;3;h;2015000;S;McDonald;25/11/2017;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;4 Valencia St;2;h;1375000;S;Barry;09/12/2017;75;3040;2;1;1;496;;;Moonee Valley City Council;-3776015;14489864;Western Metropolitan;1543
Aberfeldie;2/37 Afton St;3;h;856000;S;Nelson;17/02/2018;75;3040;;;;;;;Moonee Valley City Council;;;Western Metropolitan;1543
Aberfeldie;18 Allan St;3;h;1750000;S;Barry;17/03/2018;75;3040;3;1;1;617;;;Moonee Valley City Council;-3776045;14489391;Western Metropolitan;1543
Airport West;50 Bedford St;3;h;770000;SP;Nelson;04/03/2017;135;3042;3;2;1;0;145;1965;Moonee Valley City Council;-377203;1448755;Western Metropolitan;3464
Airport West;11 Harrington Rd;6;h;725000;SP;Barry;07/05/2016;135;3042;6;3;2;976;186;1980;Moonee Valley City Council;-377239;1448735;Western Metropolitan;3464
Airport West;2/112 Parer Rd;2;u;509500;SP;Nelson;15/10/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;43 Hillside Gr;3;h;670000;SP;Barry;16/07/2016;135;3042;3;2;2;657;;;Moonee Valley City Council;-377269;1448742;Western Metropolitan;3464
Airport West;3/7 South Rd;3;t;540000;SP;Nelson;18/06/2016;135;3042;2;2;1;161;101;2010;Moonee Valley City Council;-377231;1448802;Western Metropolitan;3464
Airport West;37 North St;3;t;825000;SP;Barry;19/11/2016;135;3042;3;2;1;293;102;1960;Moonee Valley City Council;-3772;1448776;Western Metropolitan;3464
Airport West;5/93 McNamara Av;2;t;490000;SP;Frank;26/07/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;3/35 Walters Av;3;t;552000;SP;Nelson;30/07/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;16 Glenys Av;3;h;858000;SP;Raine;01/07/2017;104;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;2/19 Hart St;3;u;737500;SP;Brad;24/06/2017;104;3042;3;2;2;143;;2012;Moonee Valley City Council;-3772967;14488835;Western Metropolitan;3464
Airport West;8 Hilbert Rd;3;h;796000;SP;Considine;23/09/2017;104;3042;3;1;1;;;;Moonee Valley City Council;-3772266;14487345;Western Metropolitan;3464
Airport West;44A Moorna Dr;4;h;931000;SP;Barry;28/10/2017;104;3042;4;2;1;276;;;Moonee Valley City Council;-3772564;14486843;Western Metropolitan;3464
Airport West;91a Marshall Rd;3;h;890000;SP;Nelson;03/03/2018;104;3042;3;2;1;306;;;Moonee Valley City Council;-3771716;1448837;Western Metropolitan;3464
Airport West;2/29 Walters Av;2;u;700000;SP;Barry;03/03/2018;104;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;23 Hart St;2;h;603000;S;Nelson;04/03/2017;135;3042;2;1;1;272;84;1950;Moonee Valley City Council;-377294;144888;Western Metropolitan;3464
Airport West;1/80 Hawker St;3;t;700000;S;Brad;04/03/2017;135;3042;3;2;2;239;134;2009;Moonee Valley City Council;-377218;1448837;Western Metropolitan;3464
Airport West;1/37 Hillside Gr;3;h;600000;S;Maddison;04/03/2017;135;3042;2;1;1;290;116;1980;Moonee Valley City Council;-377273;1448744;Western Metropolitan;3464
Airport West;33 Bowes Av;5;h;1035000;S;Airport;06/08/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;89 Bowes Av;4;h;960000;S;Barry;06/08/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;45 Laurence Av;4;h;960000;S;Nelson;06/08/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;54 Marshall Rd;3;h;720000;S;Barry;06/08/2016;135;3042;2;1;1;620;;;Moonee Valley City Council;-377173;1448872;Western Metropolitan;3464
Airport West;36 Roberts Rd;4;h;785000;S;Considine;06/08/2016;135;3042;3;1;2;597;127;;Moonee Valley City Council;-377259;1448792;Western Metropolitan;3464
Airport West;2/252 Parer Rd;2;t;450000;S;Barry;07/05/2016;135;3042;2;1;1;110;90;2015;Moonee Valley City Council;-377216;144871;Western Metropolitan;3464
Airport West;3/19 Hart St;2;u;515000;S;Barry;07/11/2016;135;3042;2;1;1;141;73;2013;Moonee Valley City Council;-377298;1448883;Western Metropolitan;3464
Airport West;2/62 Clydesdale Rd;2;u;530000;S;Nelson;10/09/2016;135;3042;2;1;1;120;94;2012;Moonee Valley City Council;-377234;1448792;Western Metropolitan;3464
Airport West;13 Etzel St;3;h;805000;S;Nelson;10/12/2016;135;3042;3;1;1;0;105;1950;Moonee Valley City Council;-377217;1448783;Western Metropolitan;3464
Airport West;1/43 Cameron St;3;u;752000;S;Nelson;11/02/2017;135;3042;3;1;1;265;130;1993;Moonee Valley City Council;-377302;1448855;Western Metropolitan;3464
Airport West;92 McNamara Av;4;h;758000;S;Jellis;13/08/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;145a Victory Rd;2;u;440000;S;Barry;13/08/2016;135;3042;2;1;1;192;;;Moonee Valley City Council;-377177;1448787;Western Metropolitan;3464
Airport West;20 Creswell Av;3;h;970000;S;Barry;14/05/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
Airport West;71 Bowes Av;4;h;985000;S;Barry;15/10/2016;135;3042;;;;;;;Moonee Valley City Council;;;Western Metropolitan;3464
